internal_2	35.0
internal_3	13.0
internal_4	6.0
internal_8	8.0
LRib5MassMet_A21A-0096_CRUK_PC_0096_M1	21.0
internal_7	1.0
LAdrenalMet_A21D-0096_CRUK_PC_0096_M3	30.0
internal_6	11.0
internal_1	14.0
SingleLiverMet4_A21E-0096_CRUK_PC_0096_M4	8.0
SingleLiverMet8_A21C-0096_CRUK_PC_0096_M2	13.0
internal_5	1.0
MultLiverMet13_A21H-0096_CRUK_PC_0096_M7	11.0
SingleLiverMet2_A21G-0096_CRUK_PC_0096_M6	5.0
LClavicleLNMet_A21I-0096_CRUK_PC_0096_M8	25.0
LIliacCrestSoftMet_A21J-0096_CRUK_PC_0096_M9	13.0
RRibNodularMet_A21F-0096_CRUK_PC_0096_M5	77.0
