branch	name	FractionOverlaps	event	final_name
internal_2	ZNF732	1.0	gain	ZNF732 +
internal_2	SLBP	1.0	gain	SLBP +
internal_2	FGFR3	1.0	gain	FGFR3 +
internal_2	RGS12	1.0	gain	RGS12 +
internal_2	MSX1	1.0	gain	MSX1 +
internal_2	STK32B	1.0	gain	STK32B +
internal_2	HTRA3	1.0	gain	HTRA3 +
internal_2	CPEB2	1.0	gain	CPEB2 +
internal_2	FGFBP1	1.0	gain	FGFBP1 +
internal_2	KCNIP4	1.0	gain	KCNIP4 +
internal_2	DHX15	1.0	gain	DHX15 +
internal_2	ANAPC4	1.0	gain	ANAPC4 +
internal_2	TBC1D19	1.0	gain	TBC1D19 +
internal_2	PCDH7	1.0	gain	PCDH7 +
internal_2	ARAP2	1.0	gain	ARAP2 +
internal_2	KLHL5	1.0	gain	KLHL5 +
internal_2	RBM47	1.0	gain	RBM47 +
internal_2	LIMCH1	1.0	gain	LIMCH1 +
internal_2	SLC30A9	1.0	gain	SLC30A9 +
internal_2	GRID2	1.0	gain	GRID2 +
internal_2	PDHA2	1.0	gain	PDHA2 +
internal_2	TET2	1.0	gain	TET2 +
internal_2	DKK2	1.0	gain	DKK2 +
internal_2	PAPSS1	1.0	gain	PAPSS1 +
internal_2	SGMS2	1.0	gain	SGMS2 +
internal_2	CFI	1.0	gain	CFI +
internal_2	LARP7	1.0	gain	LARP7 +
internal_2	UGT8	1.0	gain	UGT8 +
internal_2	METTL14	1.0	gain	METTL14 +
internal_2	PRDM5	1.0	gain	PRDM5 +
internal_2	IL21	1.0	gain	IL21 +
internal_2	FAT4	1.0	gain	FAT4 +
internal_2	MFSD8	1.0	gain	MFSD8 +
internal_2	PCDH18	1.0	gain	PCDH18 +
internal_2	NAA15	1.0	gain	NAA15 +
internal_2	CLGN	1.0	gain	CLGN +
internal_2	INPP4B	1.0	gain	INPP4B +
internal_2	HHIP	1.0	gain	HHIP +
internal_2	MMAA	1.0	gain	MMAA +
internal_2	POU4F2	1.0	gain	POU4F2 +
internal_2	LRBA	1.0	gain	LRBA +
internal_2	FBXW7	1.0	gain	FBXW7 +
internal_2	TIGD4	1.0	gain	TIGD4 +
internal_2	FGB	1.0	gain	FGB +
internal_2	RBM46	1.0	gain	RBM46 +
internal_2	GRIA2	1.0	gain	GRIA2 +
internal_2	TKTL2	1.0	gain	TKTL2 +
internal_2	TLL1	1.0	gain	TLL1 +
internal_2	GALNT7	1.0	gain	GALNT7 +
internal_2	SAP30	1.0	gain	SAP30 +
internal_2	GLRA3	1.0	gain	GLRA3 +
internal_2	GPM6A	1.0	gain	GPM6A +
internal_2	WDR17	1.0	gain	WDR17 +
internal_2	ASB5	1.0	gain	ASB5 +
internal_2	WWC2	1.0	gain	WWC2 +
internal_2	IRF2	1.0	gain	IRF2 +
internal_2	FAT1	1.0	gain	FAT1 +
internal_2	ADAMTS16	1.0	gain	ADAMTS16 +
internal_2	UBE2QL1	1.0	gain	UBE2QL1 +
internal_2	FAM173B	1.0	gain	FAM173B +
internal_2	TRIO	1.0	gain	TRIO +
internal_2	MARCH11	1.0	gain	MARCH11 +
internal_2	CDH12	1.0	gain	CDH12 +
internal_2	CDH10	1.0	gain	CDH10 +
internal_2	ZFR	1.0	gain	ZFR +
internal_2	NCOA2	1.0	gain	NCOA2 +
internal_2	STAU2	1.0	gain	STAU2 +
internal_2	TMEM70	1.0	gain	TMEM70 +
internal_2	LY96	1.0	gain	LY96 +
internal_2	CRISPLD1	1.0	gain	CRISPLD1 +
internal_2	ZFHX4	1.0	gain	ZFHX4 +
internal_2	PEX2	1.0	gain	PEX2 +
internal_2	RALYL	1.0	gain	RALYL +
internal_2	E2F5	1.0	gain	E2F5 +
internal_2	SLC7A13	1.0	gain	SLC7A13 +
internal_2	WWP1	1.0	gain	WWP1 +
internal_2	CNBD1	1.0	gain	CNBD1 +
internal_2	NECAB1	1.0	gain	NECAB1 +
internal_2	TMEM55A	1.0	gain	TMEM55A +
internal_2	SLC26A7	1.0	gain	SLC26A7 +
internal_2	RUNX1T1	1.0	gain	RUNX1T1 +
internal_2	ESRP1	1.0	gain	ESRP1 +
internal_2	DPY19L4	1.0	gain	DPY19L4 +
internal_2	INTS8	1.0	gain	INTS8 +
internal_2	C8orf37	1.0	gain	C8orf37 +
internal_2	KCNS2	1.0	gain	KCNS2 +
internal_2	RGS22	1.0	gain	RGS22 +
internal_2	ANKRD46	1.0	gain	ANKRD46 +
internal_2	ACBD4	1.0	gain	ACBD4 +
internal_2	ARHGAP27	1.0	gain	ARHGAP27 +
internal_2	KANSL1	1.0	gain	KANSL1 +
internal_2	CDC27	1.0	gain	CDC27 +
internal_2	TBKBP1	1.0	gain	TBKBP1 +
internal_2	IGF2BP1	1.0	gain	IGF2BP1 +
internal_2	SPOP	1.0	gain	SPOP +
internal_2	SAMD14	1.0	gain	SAMD14 +
internal_2	EME1	1.0	gain	EME1 +
internal_2	LUC7L3	1.0	gain	LUC7L3 +
internal_2	TOB1	1.0	gain	TOB1 +
internal_2	HLF	1.0	gain	HLF +
internal_2	SRSF1	1.0	gain	SRSF1 +
internal_2	EPX	1.0	gain	EPX +
internal_2	RNF43	1.0	gain	RNF43 +
internal_2	PPM1E	1.0	gain	PPM1E +
