branch	name	FractionOverlaps	event	final_name
internal_1	WGD	1.0	WGD	WGD
internal_1	chr1	0.996827632334838	gain	1 +
internal_1	chr2	0.9999165486725664	gain	2 +
internal_1	chr3	0.9991915808632346	gain	3 +
internal_1	chr11p	0.9958076744186046	gain	11p +
internal_1	chr12p	0.9943215315315316	gain	12p +
internal_1	chr14q	0.9673026504629629	gain	14q +
internal_1	chr15q	0.98739906918239	gain	15q +
internal_1	chr16p	0.996090838150289	gain	16p +
internal_1	chr19	0.9948474245115453	gain	19 +
internal_1	chr21q	0.9294616326530613	gain	21q +
internal_1	KLHL17	1.0	gain	KLHL17 +
internal_1	TNFRSF18	1.0	gain	TNFRSF18 +
internal_1	MXRA8	1.0	gain	MXRA8 +
internal_1	PLCH2	1.0	gain	PLCH2 +
internal_1	RPL22	1.0	gain	RPL22 +
internal_1	DNAJC11	1.0	gain	DNAJC11 +
internal_1	ERRFI1	1.0	gain	ERRFI1 +
internal_1	RERE	1.0	gain	RERE +
internal_1	KIF1B	1.0	gain	KIF1B +
internal_1	CASZ1	1.0	gain	CASZ1 +
internal_1	MTOR	1.0	gain	MTOR +
internal_1	AADACL3	1.0	gain	AADACL3 +
internal_1	PRAMEF11	1.0	gain	PRAMEF11 +
internal_1	SPEN	1.0	gain	SPEN +
internal_1	EPHA2	1.0	gain	EPHA2 +
internal_1	NBPF1	1.0	gain	NBPF1 +
internal_1	PADI2	1.0	gain	PADI2 +
internal_1	ALPL	1.0	gain	ALPL +
internal_1	C1QA	1.0	gain	C1QA +
internal_1	ID3	1.0	gain	ID3 +
internal_1	MTFR1L	1.0	gain	MTFR1L +
internal_1	ARID1A	1.0	gain	ARID1A +
internal_1	SLC9A1	1.0	gain	SLC9A1 +
internal_1	PHACTR4	1.0	gain	PHACTR4 +
internal_1	RCC1	1.0	gain	RCC1 +
internal_1	PTPRU	1.0	gain	PTPRU +
internal_1	MARCKSL1	1.0	gain	MARCKSL1 +
internal_1	GJB3	1.0	gain	GJB3 +
internal_1	ZMYM6	1.0	gain	ZMYM6 +
internal_1	SFPQ	1.0	gain	SFPQ +
internal_1	ZMYM4	1.0	gain	ZMYM4 +
internal_1	CLSPN	1.0	gain	CLSPN +
internal_1	COL8A2	1.0	gain	COL8A2 +
internal_1	MAP7D1	1.0	gain	MAP7D1 +
internal_1	THRAP3	1.0	gain	THRAP3 +
internal_1	GRIK3	1.0	gain	GRIK3 +
internal_1	FHL3	1.0	gain	FHL3 +
internal_1	NDUFS5	1.0	gain	NDUFS5 +
internal_1	HPCAL4	1.0	gain	HPCAL4 +
internal_1	OXCT2	1.0	gain	OXCT2 +
internal_1	PPT1	1.0	gain	PPT1 +
internal_1	TMCO2	1.0	gain	TMCO2 +
