branch	name	FractionOverlaps	event	final_name
internal_1	chr3	0.9215370930218362	gain	3 +
internal_1	chr7p	0.9636827287853578	gain	7p +
internal_1	chr8p	0.9965555973451328	gain	8p +
internal_1	NRP2	1.0	gain	NRP2 +
internal_1	EEF1B2	1.0	gain	EEF1B2 +
internal_1	CNTN6	1.0	gain	CNTN6 +
internal_1	IL5RA	1.0	gain	IL5RA +
internal_1	THUMPD3	1.0	gain	THUMPD3 +
internal_1	CAMK1	1.0	gain	CAMK1 +
internal_1	VHL	1.0	gain	VHL +
internal_1	RAF1	1.0	gain	RAF1 +
internal_1	FBLN2	1.0	gain	FBLN2 +
internal_1	CHCHD4	1.0	gain	CHCHD4 +
internal_1	KAT2B	1.0	gain	KAT2B +
internal_1	TOP2B	1.0	gain	TOP2B +
internal_1	SLC4A7	1.0	gain	SLC4A7 +
internal_1	EOMES	1.0	gain	EOMES +
internal_1	TGFBR2	1.0	gain	TGFBR2 +
internal_1	CLASP2	1.0	gain	CLASP2 +
internal_1	ARPP21	1.0	gain	ARPP21 +
internal_1	STAC	1.0	gain	STAC +
internal_1	MLH1	1.0	gain	MLH1 +
internal_1	MYD88	1.0	gain	MYD88 +
internal_1	SCN5A	1.0	gain	SCN5A +
internal_1	SCN10A	1.0	gain	SCN10A +
internal_1	CTNNB1	1.0	gain	CTNNB1 +
internal_1	CYP8B1	1.0	gain	CYP8B1 +
internal_1	ZKSCAN7	1.0	gain	ZKSCAN7 +
internal_1	SETD2	1.0	gain	SETD2 +
internal_1	CDC25A	1.0	gain	CDC25A +
internal_1	DALRD3	1.0	gain	DALRD3 +
internal_1	KLHDC8B	1.0	gain	KLHDC8B +
internal_1	CCDC36	1.0	gain	CCDC36 +
internal_1	RHOA	1.0	gain	RHOA +
internal_1	NICN1	1.0	gain	NICN1 +
internal_1	RBM5	1.0	gain	RBM5 +
internal_1	RBM15B	1.0	gain	RBM15B +
internal_1	IQCF2	1.0	gain	IQCF2 +
internal_1	PCBP4	1.0	gain	PCBP4 +
internal_1	ACY1	1.0	gain	ACY1 +
internal_1	TLR9	1.0	gain	TLR9 +
internal_1	TWF2	1.0	gain	TWF2 +
internal_1	BAP1	1.0	gain	BAP1 +
internal_1	PBRM1	1.0	gain	PBRM1 +
internal_1	GLT8D1	1.0	gain	GLT8D1 +
internal_1	SPCS1	1.0	gain	SPCS1 +
internal_1	PRKCD	1.0	gain	PRKCD +
internal_1	CACNA1D	1.0	gain	CACNA1D +
internal_1	ERC2	1.0	gain	ERC2 +
internal_1	HESX1	1.0	gain	HESX1 +
internal_1	ARF4	1.0	gain	ARF4 +
internal_1	DENND6A	1.0	gain	DENND6A +
internal_1	PXK	1.0	gain	PXK +
internal_1	CADPS	1.0	gain	CADPS +
internal_1	PSMD6	1.0	gain	PSMD6 +
internal_1	FAM19A1	1.0	gain	FAM19A1 +
internal_1	ZNF717	1.0	gain	ZNF717 +
internal_1	ROBO2	1.0	gain	ROBO2 +
internal_1	GBE1	1.0	gain	GBE1 +
internal_1	ZNF654	1.0	gain	ZNF654 +
internal_1	EPHA3	1.0	gain	EPHA3 +
internal_1	EPHA6	1.0	gain	EPHA6 +
internal_1	OR5AC2	1.0	gain	OR5AC2 +
internal_1	TFG	1.0	gain	TFG +
internal_1	SENP7	1.0	gain	SENP7 +
internal_1	ZBTB11	1.0	gain	ZBTB11 +
internal_1	ZBTB20	1.0	gain	ZBTB20 +
internal_1	POGLUT1	1.0	gain	POGLUT1 +
internal_1	GSK3B	1.0	gain	GSK3B +
internal_1	GTF2E1	1.0	gain	GTF2E1 +
internal_1	STXBP5L	1.0	gain	STXBP5L +
internal_1	KPNA1	1.0	gain	KPNA1 +
internal_1	DIRC2	1.0	gain	DIRC2 +
internal_1	SEC22A	1.0	gain	SEC22A +
internal_1	KALRN	1.0	gain	KALRN +
internal_1	GATA2	1.0	gain	GATA2 +
internal_1	C3orf27	1.0	gain	C3orf27 +
internal_1	ISY1	1.0	gain	ISY1 +
internal_1	EPHB1	1.0	gain	EPHB1 +
internal_1	STAG1	1.0	gain	STAG1 +
internal_1	PIK3CB	1.0	gain	PIK3CB +
internal_1	RASA2	1.0	gain	RASA2 +
internal_1	TFDP2	1.0	gain	TFDP2 +
internal_1	ATR	1.0	gain	ATR +
internal_1	SLC9A9	1.0	gain	SLC9A9 +
internal_1	CPB1	1.0	gain	CPB1 +
internal_1	HPS3	1.0	gain	HPS3 +
internal_1	TSC22D2	1.0	gain	TSC22D2 +
internal_1	SIAH2	1.0	gain	SIAH2 +
internal_1	SUCNR1	1.0	gain	SUCNR1 +
internal_1	MBNL1	1.0	gain	MBNL1 +
internal_1	DHX36	1.0	gain	DHX36 +
internal_1	MME	1.0	gain	MME +
internal_1	RSRC1	1.0	gain	RSRC1 +
internal_1	MLF1	1.0	gain	MLF1 +
internal_1	SCHIP1	1.0	gain	SCHIP1 +
internal_1	SMC4	1.0	gain	SMC4 +
internal_1	TRIM59	1.0	gain	TRIM59 +
internal_1	KPNA4	1.0	gain	KPNA4 +
internal_1	B3GALNT1	1.0	gain	B3GALNT1 +
internal_1	NMD3	1.0	gain	NMD3 +
internal_1	GOLIM4	1.0	gain	GOLIM4 +
internal_1	MECOM	1.0	gain	MECOM +
internal_1	PHC3	1.0	gain	PHC3 +
internal_1	PRKCI	1.0	gain	PRKCI +
internal_1	EIF5A2	1.0	gain	EIF5A2 +
internal_1	TNIK	1.0	gain	TNIK +
