	WGD	Rate	Number of Leaves	n	Method	Distance
0	No WGD	0.05	20	14	Euclidean NJ	0.0474519632414369
1	No WGD	0.05	20	14	Euclidean Min. Ev.	0.0474519632414369
2	No WGD	0.05	20	14	Manhattan NJ	0.008688387635756
3	No WGD	0.05	20	14	Manhattan Min. Ev.	0.0474519632414369
4	No WGD	0.05	20	14	MEDALT	0.398579782790309
5	No WGD	0.05	20	14	MEDICC2	0.008688387635756
6	No WGD	0.05	5	22	Euclidean NJ	0.0
7	No WGD	0.05	5	22	Euclidean Min. Ev.	0.0
8	No WGD	0.05	5	22	Manhattan NJ	0.0
9	No WGD	0.05	5	22	Manhattan Min. Ev.	0.0
10	No WGD	0.05	5	22	MEDALT	0.3
11	No WGD	0.05	5	22	MEDICC2	0.0
12	Low WGD	0.01	100	22	Euclidean NJ	0.117854724247935
13	Low WGD	0.01	100	22	Euclidean Min. Ev.	0.0697649356772412
14	Low WGD	0.01	100	22	Manhattan NJ	0.111680474169866
15	Low WGD	0.01	100	22	Manhattan Min. Ev.	0.0697649356772412
16	Low WGD	0.01	100	22	MEDALT	0.169917032519578
17	Low WGD	0.01	100	22	MEDICC2	0.036744980620511
18	Low WGD	0.025	100	8	Euclidean NJ	0.115606336143818
19	Low WGD	0.025	100	8	Euclidean Min. Ev.	0.110341972972807
20	Low WGD	0.025	100	8	Manhattan NJ	0.0575019134566518
21	Low WGD	0.025	100	8	Manhattan Min. Ev.	0.110341972972807
22	Low WGD	0.025	100	8	MEDALT	0.203123373561846
23	Low WGD	0.025	100	8	MEDICC2	0.0113487267094056
24	High WGD	0.01	5	23	Euclidean NJ	0.266666666666667
25	High WGD	0.01	5	23	Euclidean Min. Ev.	0.266666666666667
26	High WGD	0.01	5	23	Manhattan NJ	0.266666666666667
27	High WGD	0.01	5	23	Manhattan Min. Ev.	0.266666666666667
28	High WGD	0.01	5	23	MEDALT	0.633333333333333
29	High WGD	0.01	5	23	MEDICC2	0.266666666666667
30	Low WGD	0.025	5	20	Euclidean NJ	0.0
31	Low WGD	0.025	5	20	Euclidean Min. Ev.	0.0
32	Low WGD	0.025	5	20	Manhattan NJ	0.0
33	Low WGD	0.025	5	20	Manhattan Min. Ev.	0.0
34	Low WGD	0.025	5	20	MEDALT	0.4
35	Low WGD	0.025	5	20	MEDICC2	0.0
36	Low WGD	0.025	100	17	Euclidean NJ	0.0824575518776367
37	Low WGD	0.025	100	17	Euclidean Min. Ev.	0.0784530697967756
38	Low WGD	0.025	100	17	Manhattan NJ	0.0501978361101416
39	Low WGD	0.025	100	17	Manhattan Min. Ev.	0.0784530697967756
40	Low WGD	0.025	100	17	MEDALT	0.361306416355921
41	Low WGD	0.025	100	17	MEDICC2	0.0422745948064194
42	Low WGD	0.025	50	0	Euclidean NJ	0.0408803521408563
43	Low WGD	0.025	50	0	Euclidean Min. Ev.	0.0635534213685474
44	Low WGD	0.025	50	0	Manhattan NJ	0.0436894757903161
45	Low WGD	0.025	50	0	Manhattan Min. Ev.	0.0635534213685474
46	Low WGD	0.025	50	0	MEDALT	0.316658663465386
47	Low WGD	0.025	50	0	MEDICC2	0.0207122849139656
48	High WGD	0.05	15	7	Euclidean NJ	0.0576923076923077
49	High WGD	0.05	15	7	Euclidean Min. Ev.	0.0576923076923077
50	High WGD	0.05	15	7	Manhattan NJ	0.0445054945054945
51	High WGD	0.05	15	7	Manhattan Min. Ev.	0.0576923076923077
52	High WGD	0.05	15	7	MEDALT	0.290384615384615
53	High WGD	0.05	15	7	MEDICC2	0.0445054945054945
54	High WGD	0.025	20	3	Euclidean NJ	0.123976608187135
55	High WGD	0.025	20	3	Euclidean Min. Ev.	0.123976608187135
56	High WGD	0.025	20	3	Manhattan NJ	0.0187134502923977
57	High WGD	0.025	20	3	Manhattan Min. Ev.	0.123976608187135
58	High WGD	0.025	20	3	MEDALT	0.288220551378446
59	High WGD	0.025	20	3	MEDICC2	0.0
60	Low WGD	0.05	3	10	Euclidean NJ	0.0
61	Low WGD	0.05	3	10	Euclidean Min. Ev.	0.0
62	Low WGD	0.05	3	10	Manhattan NJ	0.0
63	Low WGD	0.05	3	10	Manhattan Min. Ev.	0.0
64	Low WGD	0.05	3	10	MEDALT	0.5
65	Low WGD	0.05	3	10	MEDICC2	0.0
66	Low WGD	0.1	20	19	Euclidean NJ	0.120300751879699
67	Low WGD	0.1	20	19	Euclidean Min. Ev.	0.120300751879699
68	Low WGD	0.1	20	19	Manhattan NJ	0.0330827067669173
69	Low WGD	0.1	20	19	Manhattan Min. Ev.	0.120300751879699
70	Low WGD	0.1	20	19	MEDALT	0.474519632414369
71	Low WGD	0.1	20	19	MEDICC2	0.0360902255639098
72	Low WGD	0.075	20	17	Euclidean NJ	0.0842105263157895
73	Low WGD	0.075	20	17	Euclidean Min. Ev.	0.0842105263157895
74	Low WGD	0.075	20	17	Manhattan NJ	0.0
75	Low WGD	0.075	20	17	Manhattan Min. Ev.	0.0842105263157895
76	Low WGD	0.075	20	17	MEDALT	0.46015037593985
77	Low WGD	0.075	20	17	MEDICC2	0.0030075187969924
78	High WGD	0.05	10	3	Euclidean NJ	0.236363636363636
79	High WGD	0.05	10	3	Euclidean Min. Ev.	0.236363636363636
80	High WGD	0.05	10	3	Manhattan NJ	0.0424242424242424
81	High WGD	0.05	10	3	Manhattan Min. Ev.	0.236363636363636
82	High WGD	0.05	10	3	MEDALT	0.445454545454545
83	High WGD	0.05	10	3	MEDICC2	0.0
84	Low WGD	0.05	10	24	Euclidean NJ	0.0
85	Low WGD	0.05	10	24	Euclidean Min. Ev.	0.109090909090909
86	Low WGD	0.05	10	24	Manhattan NJ	0.0
87	Low WGD	0.05	10	24	Manhattan Min. Ev.	0.109090909090909
88	Low WGD	0.05	10	24	MEDALT	0.445454545454545
89	Low WGD	0.05	10	24	MEDICC2	0.0
90	Low WGD	0.05	20	17	Euclidean NJ	0.135338345864662
91	Low WGD	0.05	20	17	Euclidean Min. Ev.	0.127318295739348
92	Low WGD	0.05	20	17	Manhattan NJ	0.123642439431913
93	Low WGD	0.05	20	17	Manhattan Min. Ev.	0.127318295739348
94	Low WGD	0.05	20	17	MEDALT	0.247953216374269
95	Low WGD	0.05	20	17	MEDICC2	0.0935672514619883
96	Low WGD	0.01	5	18	Euclidean NJ	0.2
97	Low WGD	0.01	5	18	Euclidean Min. Ev.	0.2
98	Low WGD	0.01	5	18	Manhattan NJ	0.0
99	Low WGD	0.01	5	18	Manhattan Min. Ev.	0.2
100	Low WGD	0.01	5	18	MEDALT	0.4
101	Low WGD	0.01	5	18	MEDICC2	0.0
102	Low WGD	0.1	20	22	Euclidean NJ	0.0548036758563074
103	Low WGD	0.1	20	22	Euclidean Min. Ev.	0.0411027568922306
104	Low WGD	0.1	20	22	Manhattan NJ	0.0137009189640769
105	Low WGD	0.1	20	22	Manhattan Min. Ev.	0.0411027568922306
106	Low WGD	0.1	20	22	MEDALT	0.5
107	Low WGD	0.1	20	22	MEDICC2	0.0461152882205514
108	Low WGD	0.025	20	17	Euclidean NJ	0.107268170426065
109	Low WGD	0.025	20	17	Euclidean Min. Ev.	0.107268170426065
110	Low WGD	0.025	20	17	Manhattan NJ	0.0030075187969924
111	Low WGD	0.025	20	17	Manhattan Min. Ev.	0.107268170426065
112	Low WGD	0.025	20	17	MEDALT	0.424644945697577
113	Low WGD	0.025	20	17	MEDICC2	0.0781954887218045
114	High WGD	0.025	5	11	Euclidean NJ	0
115	High WGD	0.025	5	11	Euclidean Min. Ev.	0
116	High WGD	0.025	5	11	Manhattan NJ	0
117	High WGD	0.025	5	11	Manhattan Min. Ev.	0
118	High WGD	0.025	5	11	MEDALT	0
119	High WGD	0.025	5	11	MEDICC2	0
120	High WGD	0.1	15	1	Euclidean NJ	0.0598901098901099
121	High WGD	0.1	15	1	Euclidean Min. Ev.	0.0598901098901099
122	High WGD	0.1	15	1	Manhattan NJ	0.0203296703296703
123	High WGD	0.1	15	1	Manhattan Min. Ev.	0.0598901098901099
124	High WGD	0.1	15	1	MEDALT	0.5
125	High WGD	0.1	15	1	MEDICC2	0.0071428571428571
126	No WGD	0.075	15	4	Euclidean NJ	0.117032967032967
127	No WGD	0.075	15	4	Euclidean Min. Ev.	0.121428571428571
128	No WGD	0.075	15	4	Manhattan NJ	0.0247252747252747
129	No WGD	0.075	15	4	Manhattan Min. Ev.	0.121428571428571
130	No WGD	0.075	15	4	MEDALT	0.5
131	No WGD	0.075	15	4	MEDICC2	0.0247252747252747
132	High WGD	0.01	10	23	Euclidean NJ	0.303030303030303
133	High WGD	0.01	10	23	Euclidean Min. Ev.	0.260606060606061
134	High WGD	0.01	10	23	Manhattan NJ	0.193939393939394
135	High WGD	0.01	10	23	Manhattan Min. Ev.	0.260606060606061
136	High WGD	0.01	10	23	MEDALT	0.274242424242424
137	High WGD	0.01	10	23	MEDICC2	0.224242424242424
138	Low WGD	0.01	50	15	Euclidean NJ	0.0942537014805922
139	Low WGD	0.01	50	15	Euclidean Min. Ev.	0.0735734293717487
140	Low WGD	0.01	50	15	Manhattan NJ	0.0217286914765906
141	Low WGD	0.01	50	15	Manhattan Min. Ev.	0.0735734293717487
142	Low WGD	0.01	50	15	MEDALT	0.308467386954782
143	Low WGD	0.01	50	15	MEDICC2	0.0304441776710684
144	Low WGD	0.05	50	4	Euclidean NJ	0.0864825930372149
145	Low WGD	0.05	50	4	Euclidean Min. Ev.	0.0859543817527011
146	Low WGD	0.05	50	4	Manhattan NJ	0.0686434573829532
147	Low WGD	0.05	50	4	Manhattan Min. Ev.	0.0859543817527011
148	Low WGD	0.05	50	4	MEDALT	0.440278111244498
149	Low WGD	0.05	50	4	MEDICC2	0.0472108843537415
150	Low WGD	0.05	3	22	Euclidean NJ	0.0
151	Low WGD	0.05	3	22	Euclidean Min. Ev.	0.0
152	Low WGD	0.05	3	22	Manhattan NJ	0.0
153	Low WGD	0.05	3	22	Manhattan Min. Ev.	0.0
154	Low WGD	0.05	3	22	MEDALT	0.5
155	Low WGD	0.05	3	22	MEDICC2	0.0
156	No WGD	0.075	15	5	Euclidean NJ	0.0956043956043956
157	No WGD	0.075	15	5	Euclidean Min. Ev.	0.102747252747253
158	No WGD	0.075	15	5	Manhattan NJ	0.0379120879120879
159	No WGD	0.075	15	5	Manhattan Min. Ev.	0.102747252747253
160	No WGD	0.075	15	5	MEDALT	0.350549450549451
161	No WGD	0.075	15	5	MEDICC2	0.0131868131868132
162	No WGD	0.025	15	17	Euclidean NJ	0.0263736263736264
163	No WGD	0.025	15	17	Euclidean Min. Ev.	0.0263736263736264
164	No WGD	0.025	15	17	Manhattan NJ	0.0
165	No WGD	0.025	15	17	Manhattan Min. Ev.	0.0263736263736264
166	No WGD	0.025	15	17	MEDALT	0.345604395604396
167	No WGD	0.025	15	17	MEDICC2	0.0131868131868132
168	Low WGD	0.01	5	16	Euclidean NJ	0.533333333333333
169	Low WGD	0.01	5	16	Euclidean Min. Ev.	0.533333333333333
170	Low WGD	0.01	5	16	Manhattan NJ	0.533333333333333
171	Low WGD	0.01	5	16	Manhattan Min. Ev.	0.533333333333333
172	Low WGD	0.01	5	16	MEDALT	0.5
173	Low WGD	0.01	5	16	MEDICC2	0.533333333333333
174	Low WGD	0.025	3	12	Euclidean NJ	0
175	Low WGD	0.025	3	12	Euclidean Min. Ev.	0
176	Low WGD	0.025	3	12	Manhattan NJ	0
177	Low WGD	0.025	3	12	Manhattan Min. Ev.	0
178	Low WGD	0.025	3	12	MEDALT	0
179	Low WGD	0.025	3	12	MEDICC2	0
180	No WGD	0.1	3	19	Euclidean NJ	0.0
181	No WGD	0.1	3	19	Euclidean Min. Ev.	0.0
182	No WGD	0.1	3	19	Manhattan NJ	0.0
183	No WGD	0.1	3	19	Manhattan Min. Ev.	0.0
184	No WGD	0.1	3	19	MEDALT	0.5
185	No WGD	0.1	3	19	MEDICC2	0.0
186	No WGD	0.025	10	14	Euclidean NJ	0.109090909090909
187	No WGD	0.025	10	14	Euclidean Min. Ev.	0.109090909090909
188	No WGD	0.025	10	14	Manhattan NJ	0.0
189	No WGD	0.025	10	14	Manhattan Min. Ev.	0.109090909090909
190	No WGD	0.025	10	14	MEDALT	0.262121212121212
191	No WGD	0.025	10	14	MEDICC2	0.0
192	High WGD	0.075	15	1	Euclidean NJ	0.0510989010989011
193	High WGD	0.075	15	1	Euclidean Min. Ev.	0.0516483516483516
194	High WGD	0.075	15	1	Manhattan NJ	0.0
195	High WGD	0.075	15	1	Manhattan Min. Ev.	0.0516483516483516
196	High WGD	0.075	15	1	MEDALT	0.407967032967033
197	High WGD	0.075	15	1	MEDICC2	0.0071428571428571
198	Low WGD	0.1	10	17	Euclidean NJ	0.0
199	Low WGD	0.1	10	17	Euclidean Min. Ev.	0.0
200	Low WGD	0.1	10	17	Manhattan NJ	0.0
201	Low WGD	0.1	10	17	Manhattan Min. Ev.	0.0
202	Low WGD	0.1	10	17	MEDALT	0.445454545454545
203	Low WGD	0.1	10	17	MEDICC2	0.0
204	High WGD	0.01	5	3	Euclidean NJ	0.0
205	High WGD	0.01	5	3	Euclidean Min. Ev.	0.0
206	High WGD	0.01	5	3	Manhattan NJ	0.0
207	High WGD	0.01	5	3	Manhattan Min. Ev.	0.0
208	High WGD	0.01	5	3	MEDALT	0.7
209	High WGD	0.01	5	3	MEDICC2	0.0
210	High WGD	0.075	15	15	Euclidean NJ	0.0516483516483516
211	High WGD	0.075	15	15	Euclidean Min. Ev.	0.0516483516483516
212	High WGD	0.075	15	15	Manhattan NJ	0.0445054945054945
213	High WGD	0.075	15	15	Manhattan Min. Ev.	0.0516483516483516
214	High WGD	0.075	15	15	MEDALT	0.457417582417582
215	High WGD	0.075	15	15	MEDICC2	0.0
216	Low WGD	0.1	10	4	Euclidean NJ	0.0424242424242424
217	Low WGD	0.1	10	4	Euclidean Min. Ev.	0.0424242424242424
218	Low WGD	0.1	10	4	Manhattan NJ	0.0424242424242424
219	Low WGD	0.1	10	4	Manhattan Min. Ev.	0.0424242424242424
220	Low WGD	0.1	10	4	MEDALT	0.445454545454545
221	Low WGD	0.1	10	4	MEDICC2	0.0424242424242424
222	High WGD	0.025	20	6	Euclidean NJ	0.0056808688387635
223	High WGD	0.025	20	6	Euclidean Min. Ev.	0.0056808688387635
224	High WGD	0.025	20	6	Manhattan NJ	0.0056808688387635
225	High WGD	0.025	20	6	Manhattan Min. Ev.	0.0056808688387635
226	High WGD	0.025	20	6	MEDALT	0.173182957393484
227	High WGD	0.025	20	6	MEDICC2	0.0
228	No WGD	0.05	15	16	Euclidean NJ	0.021978021978022
229	No WGD	0.05	15	16	Euclidean Min. Ev.	0.021978021978022
230	No WGD	0.05	15	16	Manhattan NJ	0.0
231	No WGD	0.05	15	16	Manhattan Min. Ev.	0.021978021978022
232	No WGD	0.05	15	16	MEDALT	0.475
233	No WGD	0.05	15	16	MEDICC2	0.0
234	No WGD	0.075	5	17	Euclidean NJ	0.0
235	No WGD	0.075	5	17	Euclidean Min. Ev.	0.0
236	No WGD	0.075	5	17	Manhattan NJ	0.0
237	No WGD	0.075	5	17	Manhattan Min. Ev.	0.0
238	No WGD	0.075	5	17	MEDALT	0.3
239	No WGD	0.075	5	17	MEDICC2	0.0
240	No WGD	0.05	5	4	Euclidean NJ	0.266666666666667
241	No WGD	0.05	5	4	Euclidean Min. Ev.	0.533333333333333
242	No WGD	0.05	5	4	Manhattan NJ	0.266666666666667
243	No WGD	0.05	5	4	Manhattan Min. Ev.	0.533333333333333
244	No WGD	0.05	5	4	MEDALT	0.5
245	No WGD	0.05	5	4	MEDICC2	0.0
246	High WGD	0.025	20	18	Euclidean NJ	0.0424394319131161
247	High WGD	0.025	20	18	Euclidean Min. Ev.	0.0424394319131161
248	High WGD	0.025	20	18	Manhattan NJ	0.0367585630743525
249	High WGD	0.025	20	18	Manhattan Min. Ev.	0.0424394319131161
250	High WGD	0.025	20	18	MEDALT	0.304177109440267
251	High WGD	0.025	20	18	MEDICC2	0.0
252	No WGD	0.025	5	7	Euclidean NJ	0.0
253	No WGD	0.025	5	7	Euclidean Min. Ev.	0.0
254	No WGD	0.025	5	7	Manhattan NJ	0.0
255	No WGD	0.025	5	7	Manhattan Min. Ev.	0.0
256	No WGD	0.025	5	7	MEDALT	0.566666666666667
257	No WGD	0.025	5	7	MEDICC2	0.0
258	High WGD	0.01	20	7	Euclidean NJ	0.149707602339181
259	High WGD	0.01	20	7	Euclidean Min. Ev.	0.0862155388471178
260	High WGD	0.01	20	7	Manhattan NJ	0.0862155388471178
261	High WGD	0.01	20	7	Manhattan Min. Ev.	0.0862155388471178
262	High WGD	0.01	20	7	MEDALT	0.151796157059315
263	High WGD	0.01	20	7	MEDICC2	0.0862155388471178
264	No WGD	0.05	20	1	Euclidean NJ	0.039766081871345
265	No WGD	0.05	20	1	Euclidean Min. Ev.	0.051796157059315
266	No WGD	0.05	20	1	Manhattan NJ	0.0
267	No WGD	0.05	20	1	Manhattan Min. Ev.	0.051796157059315
268	No WGD	0.05	20	1	MEDALT	0.44703425229741
269	No WGD	0.05	20	1	MEDICC2	0.0
270	Low WGD	0.025	20	20	Euclidean NJ	0.115956558061821
271	Low WGD	0.025	20	20	Euclidean Min. Ev.	0.115956558061821
272	Low WGD	0.025	20	20	Manhattan NJ	0.115956558061821
273	Low WGD	0.025	20	20	Manhattan Min. Ev.	0.115956558061821
274	Low WGD	0.025	20	20	MEDALT	0.407518796992481
275	Low WGD	0.025	20	20	MEDICC2	0.118964076858814
276	No WGD	0.05	10	1	Euclidean NJ	0.0
277	No WGD	0.05	10	1	Euclidean Min. Ev.	0.0242424242424242
278	No WGD	0.05	10	1	Manhattan NJ	0.0
279	No WGD	0.05	10	1	Manhattan Min. Ev.	0.0242424242424242
280	No WGD	0.05	10	1	MEDALT	0.360606060606061
281	No WGD	0.05	10	1	MEDICC2	0.0
282	No WGD	0.05	20	2	Euclidean NJ	0.0247284878863826
283	No WGD	0.05	20	2	Euclidean Min. Ev.	0.0217209690893901
284	No WGD	0.05	20	2	Manhattan NJ	0.0
285	No WGD	0.05	20	2	Manhattan Min. Ev.	0.0217209690893901
286	No WGD	0.05	20	2	MEDALT	0.185380116959064
287	No WGD	0.05	20	2	MEDICC2	0.0
288	Low WGD	0.025	10	11	Euclidean NJ	0.0424242424242424
289	Low WGD	0.025	10	11	Euclidean Min. Ev.	0.0424242424242424
290	Low WGD	0.025	10	11	Manhattan NJ	0.0
291	Low WGD	0.025	10	11	Manhattan Min. Ev.	0.0424242424242424
292	Low WGD	0.025	10	11	MEDALT	0.395454545454545
293	Low WGD	0.025	10	11	MEDICC2	0.0
294	Low WGD	0.075	10	24	Euclidean NJ	0.121212121212121
295	Low WGD	0.075	10	24	Euclidean Min. Ev.	0.0787878787878788
296	Low WGD	0.075	10	24	Manhattan NJ	0.0787878787878788
297	Low WGD	0.075	10	24	Manhattan Min. Ev.	0.0787878787878788
298	Low WGD	0.075	10	24	MEDALT	0.46969696969697
299	Low WGD	0.075	10	24	MEDICC2	0.0
300	No WGD	0.025	5	10	Euclidean NJ	0.2
301	No WGD	0.025	5	10	Euclidean Min. Ev.	0.2
302	No WGD	0.025	5	10	Manhattan NJ	0.2
303	No WGD	0.025	5	10	Manhattan Min. Ev.	0.2
304	No WGD	0.025	5	10	MEDALT	0.3
305	No WGD	0.025	5	10	MEDICC2	0.2
306	High WGD	0.01	10	19	Euclidean NJ	0.151515151515152
307	High WGD	0.01	10	19	Euclidean Min. Ev.	0.175757575757576
308	High WGD	0.01	10	19	Manhattan NJ	0.175757575757576
309	High WGD	0.01	10	19	Manhattan Min. Ev.	0.175757575757576
310	High WGD	0.01	10	19	MEDALT	0.359090909090909
311	High WGD	0.01	10	19	MEDICC2	0.0484848484848485
312	No WGD	0.075	3	1	Euclidean NJ	0.0
313	No WGD	0.075	3	1	Euclidean Min. Ev.	0.0
314	No WGD	0.075	3	1	Manhattan NJ	0.0
315	No WGD	0.075	3	1	Manhattan Min. Ev.	0.0
316	No WGD	0.075	3	1	MEDALT	0.5
317	No WGD	0.075	3	1	MEDICC2	0.0
318	High WGD	0.01	10	16	Euclidean NJ	0.157575757575758
319	High WGD	0.01	10	16	Euclidean Min. Ev.	0.193939393939394
320	High WGD	0.01	10	16	Manhattan NJ	0.157575757575758
321	High WGD	0.01	10	16	Manhattan Min. Ev.	0.193939393939394
322	High WGD	0.01	10	16	MEDALT	0.334848484848485
323	High WGD	0.01	10	16	MEDICC2	0.0909090909090909
324	No WGD	0.075	5	16	Euclidean NJ	0.0
325	No WGD	0.075	5	16	Euclidean Min. Ev.	0.0
326	No WGD	0.075	5	16	Manhattan NJ	0.0
327	No WGD	0.075	5	16	Manhattan Min. Ev.	0.0
328	No WGD	0.075	5	16	MEDALT	0.566666666666667
329	No WGD	0.075	5	16	MEDICC2	0.0
330	High WGD	0.05	10	14	Euclidean NJ	0.0545454545454545
331	High WGD	0.05	10	14	Euclidean Min. Ev.	0.0545454545454545
332	High WGD	0.05	10	14	Manhattan NJ	0.0545454545454545
333	High WGD	0.05	10	14	Manhattan Min. Ev.	0.0545454545454545
334	High WGD	0.05	10	14	MEDALT	0.392424242424242
335	High WGD	0.05	10	14	MEDICC2	0.0545454545454545
336	Low WGD	0.05	20	3	Euclidean NJ	0.166416040100251
337	Low WGD	0.05	20	3	Euclidean Min. Ev.	0.160735171261487
338	Low WGD	0.05	20	3	Manhattan NJ	0.113617376775272
339	Low WGD	0.05	20	3	Manhattan Min. Ev.	0.160735171261487
340	Low WGD	0.05	20	3	MEDALT	0.431913116123642
341	Low WGD	0.05	20	3	MEDICC2	0.0056808688387635
342	Low WGD	0.075	3	20	Euclidean NJ	0
343	Low WGD	0.075	3	20	Euclidean Min. Ev.	0
344	Low WGD	0.075	3	20	Manhattan NJ	0
345	Low WGD	0.075	3	20	Manhattan Min. Ev.	0
346	Low WGD	0.075	3	20	MEDALT	1
347	Low WGD	0.075	3	20	MEDICC2	0
348	No WGD	0.1	10	10	Euclidean NJ	0.157575757575758
349	No WGD	0.1	10	10	Euclidean Min. Ev.	0.157575757575758
350	No WGD	0.1	10	10	Manhattan NJ	0.0
351	No WGD	0.1	10	10	Manhattan Min. Ev.	0.157575757575758
352	No WGD	0.1	10	10	MEDALT	0.427272727272727
353	No WGD	0.1	10	10	MEDICC2	0.0
354	Low WGD	0.01	15	14	Euclidean NJ	0.0445054945054945
355	Low WGD	0.01	15	14	Euclidean Min. Ev.	0.0445054945054945
356	Low WGD	0.01	15	14	Manhattan NJ	0.0445054945054945
357	Low WGD	0.01	15	14	Manhattan Min. Ev.	0.0445054945054945
358	Low WGD	0.01	15	14	MEDALT	0.187362637362637
359	Low WGD	0.01	15	14	MEDICC2	0.0445054945054945
360	Low WGD	0.01	250	3	Euclidean NJ	0.0594283449180348
361	Low WGD	0.01	250	3	Euclidean Min. Ev.	0.0467908761378892
362	Low WGD	0.01	250	3	Manhattan NJ	0.0056700984635109
363	Low WGD	0.01	250	3	Manhattan Min. Ev.	0.0467908761378892
364	Low WGD	0.01	250	3	MEDALT	0.210737434250561
365	Low WGD	0.01	250	3	MEDICC2	0.0248776522359842
366	Low WGD	0.075	10	13	Euclidean NJ	0.0
367	Low WGD	0.075	10	13	Euclidean Min. Ev.	0.0
368	Low WGD	0.075	10	13	Manhattan NJ	0.0
369	Low WGD	0.075	10	13	Manhattan Min. Ev.	0.0
370	Low WGD	0.075	10	13	MEDALT	0.445454545454545
371	Low WGD	0.075	10	13	MEDICC2	0.0
372	Low WGD	0.1	10	0	Euclidean NJ	0.175757575757576
373	Low WGD	0.1	10	0	Euclidean Min. Ev.	0.175757575757576
374	Low WGD	0.1	10	0	Manhattan NJ	0.0727272727272727
375	Low WGD	0.1	10	0	Manhattan Min. Ev.	0.175757575757576
376	Low WGD	0.1	10	0	MEDALT	0.445454545454545
377	Low WGD	0.1	10	0	MEDICC2	0.0606060606060606
378	High WGD	0.05	15	8	Euclidean NJ	0.0593406593406593
379	High WGD	0.05	15	8	Euclidean Min. Ev.	0.0593406593406593
380	High WGD	0.05	15	8	Manhattan NJ	0.0
381	High WGD	0.05	15	8	Manhattan Min. Ev.	0.0593406593406593
382	High WGD	0.05	15	8	MEDALT	0.450274725274725
383	High WGD	0.05	15	8	MEDICC2	0.0
384	High WGD	0.025	10	3	Euclidean NJ	0.163636363636364
385	High WGD	0.025	10	3	Euclidean Min. Ev.	0.163636363636364
386	High WGD	0.025	10	3	Manhattan NJ	0.0
387	High WGD	0.025	10	3	Manhattan Min. Ev.	0.163636363636364
388	High WGD	0.025	10	3	MEDALT	0.445454545454545
389	High WGD	0.025	10	3	MEDICC2	0.0
390	Low WGD	0.075	5	10	Euclidean NJ	0.266666666666667
391	Low WGD	0.075	5	10	Euclidean Min. Ev.	0.266666666666667
392	Low WGD	0.075	5	10	Manhattan NJ	0.0
393	Low WGD	0.075	5	10	Manhattan Min. Ev.	0.266666666666667
394	Low WGD	0.075	5	10	MEDALT	0.5
395	Low WGD	0.075	5	10	MEDICC2	0.0
396	No WGD	0.075	15	17	Euclidean NJ	0.0181318681318681
397	No WGD	0.075	15	17	Euclidean Min. Ev.	0.0181318681318681
398	No WGD	0.075	15	17	Manhattan NJ	0.0313186813186813
399	No WGD	0.075	15	17	Manhattan Min. Ev.	0.0181318681318681
400	No WGD	0.075	15	17	MEDALT	0.5
401	No WGD	0.075	15	17	MEDICC2	0.0181318681318681
402	High WGD	0.01	20	21	Euclidean NJ	0.221553884711779
403	High WGD	0.01	20	21	Euclidean Min. Ev.	0.202840434419382
404	High WGD	0.01	20	21	Manhattan NJ	0.223893065998329
405	High WGD	0.01	20	21	Manhattan Min. Ev.	0.202840434419382
406	High WGD	0.01	20	21	MEDALT	0.275772765246449
407	High WGD	0.01	20	21	MEDICC2	0.186131996658312
408	Low WGD	0.01	100	14	Euclidean NJ	0.106926284465181
409	Low WGD	0.01	100	14	Euclidean Min. Ev.	0.0844757128774102
410	Low WGD	0.01	100	14	Manhattan NJ	0.026606905588518
411	Low WGD	0.01	100	14	Manhattan Min. Ev.	0.0844757128774102
412	Low WGD	0.01	100	14	MEDALT	0.190585793273205
413	Low WGD	0.01	100	14	MEDICC2	0.0306652706086935
414	No WGD	0.01	20	12	Euclidean NJ	0.0521303258145363
415	No WGD	0.01	20	12	Euclidean Min. Ev.	0.118964076858814
416	No WGD	0.01	20	12	Manhattan NJ	0.050125313283208
417	No WGD	0.01	20	12	Manhattan Min. Ev.	0.118964076858814
418	No WGD	0.01	20	12	MEDALT	0.12531328320802
419	No WGD	0.01	20	12	MEDICC2	0.0297410192147034
420	High WGD	0.01	20	17	Euclidean NJ	0.123976608187135
421	High WGD	0.01	20	17	Euclidean Min. Ev.	0.123976608187135
422	High WGD	0.01	20	17	Manhattan NJ	0.112949039264829
423	High WGD	0.01	20	17	Manhattan Min. Ev.	0.123976608187135
424	High WGD	0.01	20	17	MEDALT	0.384126984126984
425	High WGD	0.01	20	17	MEDICC2	0.0778613199665831
426	Low WGD	0.075	5	15	Euclidean NJ	0.0
427	Low WGD	0.075	5	15	Euclidean Min. Ev.	0.0
428	Low WGD	0.075	5	15	Manhattan NJ	0.0
429	Low WGD	0.075	5	15	Manhattan Min. Ev.	0.0
430	Low WGD	0.075	5	15	MEDALT	0.5
431	Low WGD	0.075	5	15	MEDICC2	0.0
432	Low WGD	0.05	3	3	Euclidean NJ	0.0
433	Low WGD	0.05	3	3	Euclidean Min. Ev.	0.0
434	Low WGD	0.05	3	3	Manhattan NJ	0.0
435	Low WGD	0.05	3	3	Manhattan Min. Ev.	0.0
436	Low WGD	0.05	3	3	MEDALT	0.5
437	Low WGD	0.05	3	3	MEDICC2	0.0
438	Low WGD	0.01	10	11	Euclidean NJ	0.224242424242424
