hom	ploidy_pcawg	pcawg_wgd
0.296644831776482	3.27739824082134	WGD
0.0001061757625074	1.99347606452954	No WGD
0.168827466238398	2.38240759441713	No WGD
0.156375558767595	1.82622170026772	No WGD
0.361573654851205	1.63074051548241	No WGD
0.0266049932959992	1.96620201913977	No WGD
0.0662545023649804	1.84942532856088	No WGD
0.0055869811183604	1.9832923324807	No WGD
0.100654106263242	1.89347673261389	No WGD
0.0749484370237437	1.93634724396746	No WGD
0.0570429068714742	1.86526547663108	No WGD
0.0878034289923941	1.9390263486661	No WGD
0.138158397845762	1.91134926317686	No WGD
0.21146383675967	1.86022947880918	No WGD
0.0973955272033348	4.05119186731091	WGD
0.138105297231472	1.97262968657326	No WGD
0.192095188117246	2.68110914046259	WGD
0.283598418255985	3.1945396195447	WGD
0.255015605758955	1.76755662150378	No WGD
0.299181303409445	1.77077485854017	No WGD
0.113807796116454	1.87114945568829	No WGD
0.34763202140899	2.79572433977966	WGD
0.327153858905987	1.67795358542057	No WGD
0.119276247555949	1.9959569904274	No WGD
0.14635070122737	3.17080401033919	WGD
0.0	1.99348920092643	No WGD
0.37927520322578	3.43120471923157	WGD
0.477857512863508	3.15985982521907	WGD
0.0694682787019489	1.92413125703355	No WGD
0.122652678692888	1.92333387457916	No WGD
8.38893283232029e-05	1.99331553316125	No WGD
0.158254956359229	1.95523673792387	No WGD
0.238968387667178	1.75590668807014	No WGD
0.153532192511939	1.91218457807256	No WGD
0.358720195003913	1.83044706592536	No WGD
0.18288273135312	1.94039008606972	No WGD
0.101084092781598	3.86664596125283	WGD
0.182220876377909	1.87846088136267	No WGD
0.0352639292771557	2.05907650397045	No WGD
0.0717602487830304	1.90619083039537	No WGD
0.0619327752252447	3.97937838713332	WGD
0.257358356384065	3.24047504503906	WGD
0.27397265792219	1.99927260395427	No WGD
0.342998076321535	3.15677134729875	WGD
0.31493973619641	2.83607431892576	WGD
0.072641831112819	2.14277032844909	No WGD
0.0778024900426382	1.94042268219897	No WGD
0.403743825565566	2.00897554919802	No WGD
0.259223392722999	1.80052899502671	No WGD
0.0571616870675958	2.28615209800797	No WGD
0.219577204260259	2.90816146954936	WGD
0.071801912050394	1.9235793398051	No WGD
0.133640043585725	3.65045637737637	WGD
0.333825167951943	2.77812382563783	WGD
0.470809524359404	2.56404831966118	WGD
0.348061116107679	1.72530243009995	No WGD
0.280228194532917	2.74118024869564	WGD
0.138971139889988	1.85079239365655	No WGD
0.20016255478603	2.88505725777895	WGD
0.30995070323136	1.69678244759841	No WGD
0.325991132078923	3.03888754598808	WGD
0.129871060364994	2.02403639350918	No WGD
