	leaves	n	rf	grf	quartet
131	50	14	96.0	0.8681959	0.6739336
132	100	14	196.0	0.8799542	0.6597483
133	250	14	496.0	0.8942945	0.6673236
134	500	14	994.0	0.908968	-1.0
135	3	15	2.0	1.0	1.0
136	5	15	6.0	0.8669376	0.8666667
137	10	15	16.0	0.7903754	0.6606061
138	15	15	26.0	0.8455427	0.6978022
139	20	15	36.0	0.8475511	0.6942356
140	50	15	94.0	0.8331148	0.6621609
141	100	15	196.0	0.8734014	0.6577314
142	250	15	494.0	0.8940979	0.6643884
143	500	15	994.0	0.9033625	-1.0
144	3	16	0.0	0.0	0.0
145	5	16	6.0	0.7494257	0.6666667
146	10	16	16.0	0.7806195	0.6969697
147	15	16	26.0	0.8146837	0.6593407
148	20	16	36.0	0.8559069	0.6770259
149	50	16	96.0	0.8523076	0.6744218
150	100	16	194.0	0.8606296	0.6536309
151	250	16	494.0	0.8986959	0.6680112
152	500	16	996.0	0.9105432	-1.0
153	3	17	0.0	0.0	0.0
154	5	17	6.0	0.6607174	0.6666667
155	10	17	14.0	0.640553	0.5606061
156	15	17	26.0	0.8609778	0.7368132
157	20	17	34.0	0.8048826	0.6492899
158	50	17	94.0	0.8681593	0.6655462
159	100	17	196.0	0.8779015	0.6653171
160	250	17	496.0	0.8943256	0.6698868
161	500	17	996.0	0.9101368	-1.0
162	3	18	2.0	1.0	1.0
163	5	18	6.0	0.8225834	0.8
164	10	18	16.0	0.9125069	0.7909091
165	15	18	26.0	0.7519136	0.6115385
166	20	18	36.0	0.8172598	0.6477861
167	50	18	94.0	0.8424837	0.6557463
168	100	18	194.0	0.8808622	0.6706508
169	250	18	496.0	0.8940493	0.6685305
170	500	18	996.0	0.9042276	-1.0
171	3	19	2.0	1.0	1.0
172	5	19	6.0	0.6607174	0.6666667
173	10	19	16.0	0.6732438	0.5363636
174	15	19	22.0	0.7598608	0.6895604
175	20	19	36.0	0.8707887	0.7076023
176	50	19	94.0	0.8648588	0.6722889
177	100	19	194.0	0.8813122	0.6633952
178	250	19	496.0	0.893379	0.6691133
179	500	19	996.0	0.9082038	-1.0
180	3	20	0.0	0.0	0.0
181	5	20	2.0	0.3081816	0.2
182	10	20	14.0	0.6602787	0.5818182
183	15	20	26.0	0.8502957	0.7236264
184	20	20	36.0	0.8400407	0.6979114
185	50	20	96.0	0.8669806	0.659996
186	100	20	196.0	0.8996169	0.6762593
187	250	20	496.0	0.8985276	0.6694633
188	500	20	994.0	0.9085091	-1.0
189	3	21	0.0	0.0	0.0
190	5	21	6.0	0.8225834	0.8
191	10	21	16.0	0.7703837	0.6848485
192	15	21	26.0	0.6645257	0.4989011
193	20	21	36.0	0.81099	0.6252297
194	50	21	96.0	0.8737147	0.6801401
195	100	21	196.0	0.8870916	0.6663497
196	250	21	496.0	0.8978566	0.6713422
197	500	21	996.0	0.9081801	-1.0
198	3	22	2.0	1.0	1.0
199	5	22	4.0	0.4915284	0.4666667
200	10	22	14.0	0.6805406	0.630303
201	15	22	26.0	0.7735063	0.6351648
202	20	22	36.0	0.8789558	0.7094403
203	50	22	96.0	0.8540951	0.6687595
204	100	22	196.0	0.8843533	0.6626022
205	250	22	496.0	0.893706	0.6689869
206	500	22	996.0	0.9072776	-1.0
207	3	23	0.0	0.0	0.0
208	5	23	6.0	0.8225834	0.8
209	10	23	16.0	0.748121	0.6424242
210	15	23	26.0	0.8965488	0.7467033
211	20	23	36.0	0.8432283	0.6743525
212	50	23	96.0	0.8692444	0.6712005
213	100	23	194.0	0.8778414	0.6728669
214	250	23	496.0	0.8924455	0.6667431
215	500	23	996.0	0.9095123	-1.0
216	3	24	2.0	1.0	1.0
217	5	24	4.0	0.558756	0.5333333
218	10	24	16.0	0.797188	0.7212121
219	15	24	24.0	0.8134211	0.7115385
220	20	24	36.0	0.8146967	0.6310777
221	50	24	94.0	0.8618453	0.6765066
222	100	24	196.0	0.8922786	0.6714356
223	250	24	494.0	0.8962844	0.6656786
224	500	24	996.0	0.9060299	-1.0
