tag	rep	length	Time	Algorithm	WGD
no_wgd_legacy	5	100	0.4967076778411865	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	120	0.6021244525909424	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	140	0.7099654674530029	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	160	0.8037724494934082	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	180	0.8994567394256592	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	200	1.0154509544372559	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	6	20	0.1083672046661377	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	6	40	0.1911909580230713	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	6	60	0.3029031753540039	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	6	80	0.3825101852416992	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	6	100	0.4835171699523926	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	6	120	0.6178226470947266	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	6	140	0.6952157020568848	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	6	160	0.8088352680206299	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	6	180	0.96976637840271	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	6	200	1.1222400665283203	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	7	20	0.1095578670501709	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	7	40	0.1880168914794922	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	7	60	0.28510117530822754	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	7	80	0.39136290550231934	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	7	100	0.486253023147583	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	7	120	0.5914180278778076	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	7	140	0.6770663261413574	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	7	160	0.7979047298431396	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	7	180	0.8917627334594727	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	7	200	0.9936432838439941	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	8	20	0.10418057441711426	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	8	40	0.1891164779663086	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	8	60	0.2956869602203369	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	8	80	0.3890078067779541	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	8	100	0.4813570976257324	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	8	120	0.582324743270874	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	8	140	0.6824305057525635	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	8	160	0.7854480743408203	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	8	180	0.8940870761871338	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	8	200	0.9874019622802734	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	9	20	0.1033627986907959	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	9	40	0.18735623359680176	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	9	60	0.296816349029541	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	9	80	0.38729238510131836	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	9	100	0.4926309585571289	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	9	120	0.6301500797271729	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	9	140	0.6829085350036621	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	9	160	0.8482439517974854	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	9	180	0.9024627208709717	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	9	200	0.9957454204559326	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	10	20	0.10476446151733398	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	10	40	0.1873939037322998	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	10	60	0.29046034812927246	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	10	80	0.3861048221588135	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	10	100	0.500316858291626	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	10	120	0.5955872535705566	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	10	140	0.6947588920593262	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	10	160	0.7933909893035889	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	10	180	0.9107820987701416	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	10	200	1.0070610046386719	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	11	20	0.10525226593017578	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	11	40	0.19489479064941406	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	11	60	0.29042696952819824	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	11	80	0.39561915397644043	"Legacy composition
(Schwarz et al. 2014)"	No WGD
